iter	Logloss
0	0.6868464225
1	0.6811547553
2	0.6760207221
3	0.671632195
4	0.6673434418
5	0.6634550188
6	0.6595652289
7	0.6561049313
8	0.6530578484
9	0.6505388827
10	0.6475331721
11	0.6451474461
12	0.6420258909
13	0.6399820886
14	0.6380805725
15	0.6360587941
16	0.6339242483
17	0.6322179184
18	0.6306492029
19	0.6290787252
20	0.627262545
21	0.6260625532
22	0.6251754394
23	0.6238649456
24	0.6224191541
25	0.6211322719
26	0.6200237196
27	0.6194010638
28	0.6181031106
29	0.6168818308
30	0.6160901199
31	0.6149567506
32	0.6139935251
33	0.6127924263
34	0.6115720464
35	0.6104947466
36	0.6090294202
37	0.6079185593
38	0.6072493395
39	0.6062333599
40	0.6052236866
41	0.6042033416
42	0.6033635448
43	0.603210848
44	0.6024764578
45	0.6018110347
46	0.6010914618
47	0.6003032198
48	0.5993362934
49	0.5985096912
50	0.5975637305
51	0.596799012
52	0.5966951746
53	0.5959093834
54	0.5955518748
55	0.5947745205
56	0.594068889
57	0.5932630943
58	0.592712062
59	0.59230759
60	0.5918249136
61	0.5911621707
62	0.5903770544
63	0.5900232858
64	0.5892477209
65	0.5887897576
66	0.5882022639
67	0.5876254238
68	0.5867864336
69	0.5861379827
70	0.5855026105
71	0.5847878293
72	0.5842351949
73	0.5838024805
74	0.5834495012
75	0.5830698634
76	0.5826387289
77	0.5825036116
78	0.5821668778
79	0.5814456135
80	0.5805663524
81	0.5799344547
82	0.5798413847
83	0.5793140997
84	0.5789521288
85	0.5784543729
86	0.5780803508
87	0.5777116903
88	0.5774208246
89	0.5767834749
90	0.5761636266
91	0.5756608539
92	0.575192603
93	0.5748677669
94	0.5741984684
95	0.5739977249
96	0.5733470945
97	0.5730573597
98	0.5729033716
99	0.5727130562
100	0.5723805328
